Congregate Dining Meal Count Application,Days,Contains basic days of service information
Congregate Dining Meal Count Application,Dinings,Contains basic dining information
Congregate Dining Meal Count Application,Meals,Contains basic meal type information
Congregate Dining Meal Count Application,Regions,Contains basic region information
Congregate Dining Meal Count Application,Sites,Contains basic site information
Congregate Dining Meal Count Application,Status,Contains basic open/close information
